Village Name,Land Size (Acres),Crops,Machines Available,Labor Issues,Tech Gaps,Suggested Machines,Recommended Training Focus
Dhanwar,888,"Paddy, Maize, Vegetables, Mung",Harvester,Labor migration,"No weeder, No paddy planter, No harvester","Sprayer, Harvester","Nursery setup, Machine handling"
Sonpur,1273,"Sugarcane, Vegetables, Millets, Maize","Sprayer, Harvester, None",None,"Manual sowing, No seed drill, No paddy planter",Weeder,"Nursery setup, Bookkeeping"
Kundesar,2449,"Wheat, Maize","Tractor, Harvester",Harvest labor shortage,Manual sowing,Nursery bed,Nursery setup
Khurda,2909,"Chana, Wheat","None, Sprayer, Manual Tools",None,Manual sowing,"Seed drill, Weeder",Custom hiring
Agariya,1033,"Wheat, Paddy, Millets, Maize",Manual Tools,No major labor issues,No weeder,"Seed drill, Harvester","Machine handling, Repair & maintenance"
Kundesar,2963,"Maize, Wheat","Harvester, Tractor",Harvest labor shortage,Manual weeding,"Paddy transplanter, Sprayer","Machine handling, Nursery setup"
Agariya,1208,"Mung, Maize","Manual Tools, None, Tractor",None,"Manual weeding, No weeder, No harvester",Nursery bed,Machine handling
Pipra,1958,"Mung, Millets, Wheat","Harvester, Manual Tools, None",No major labor issues,"Manual sowing, No harvester, No seed drill","Paddy transplanter, Weeder","Nursery setup, Bookkeeping"
Sonpur,1391,"Mung, Paddy, Wheat","Tractor, Harvester, Manual Tools",Need skilled labor,"No seed drill, Manual weeding, No paddy planter","Seed drill, Paddy transplanter",Machine handling
Pipra,2033,"Sugarcane, Mung, Chana, Maize",Manual Tools,Labor migration,"Manual sowing, No paddy planter, No seed drill","Seed drill, Paddy transplanter",Nursery setup
Dhanwar,2096,"Maize, Vegetables, Sugarcane, Wheat","Sprayer, Harvester",Harvest labor shortage,No seed drill,"Paddy transplanter, Sprayer","Nursery setup, Bookkeeping"
Buxar,1726,"Wheat, Sugarcane, Maize, Vegetables","Sprayer, None",None,"Manual weeding, Manual sowing, No weeder","Seed drill, Sprayer","Custom hiring, Bookkeeping"
Buxar,2924,"Millets, Mung, Paddy, Sugarcane",Tractor,Need skilled labor,"Manual sowing, No harvester, Manual weeding",Sprayer,"Nursery setup, Repair & maintenance"
Rajpur,1340,"Chana, Sugarcane, Paddy, Maize","Tractor, Manual Tools",Labor migration,"No seed drill, No harvester, Manual weeding","Seed drill, Nursery bed",Bookkeeping
Buxar,1857,"Chana, Vegetables, Mung","Manual Tools, Sprayer, Harvester",Labor migration,"No weeder, Manual weeding",Harvester,Bookkeeping
Kundesar,2237,"Maize, Wheat, Sugarcane, Vegetables",Harvester,Harvest labor shortage,"Manual weeding, No seed drill",Sprayer,Custom hiring
Buxar,1844,"Millets, Chana, Sugarcane","Harvester, Manual Tools",None,"No weeder, No seed drill, No paddy planter","Weeder, Harvester","Nursery setup, Repair & maintenance"
Kundesar,607,"Sugarcane, Chana",Sprayer,Harvest labor shortage,No seed drill,Paddy transplanter,"Bookkeeping, Custom hiring"
Chandipur,1057,"Sugarcane, Vegetables",Tractor,Labor migration,"No seed drill, No paddy planter","Seed drill, Sprayer",Repair & maintenance
Buxar,905,"Sugarcane, Mung, Maize, Wheat",Sprayer,Need skilled labor,Manual sowing,Nursery bed,"Nursery setup, Machine handling"
Sonpur,1646,"Paddy, Mung",Manual Tools,Labor migration,"No harvester, No seed drill","Seed drill, Sprayer",Machine handling
Pipra,754,"Maize, Sugarcane","None, Sprayer",Need skilled labor,"No paddy planter, Manual sowing",Weeder,Bookkeeping
Kundesar,2801,"Sugarcane, Mung, Maize","Manual Tools, Sprayer",Labor migration,"No weeder, No paddy planter, No seed drill","Seed drill, Paddy transplanter","Machine handling, Bookkeeping"
Chandipur,1376,"Chana, Mung, Millets","Manual Tools, None",None,"No seed drill, No weeder","Sprayer, Paddy transplanter","Custom hiring, Nursery setup"
Kundesar,1526,"Sugarcane, Mung, Vegetables, Chana","Tractor, Manual Tools, None",No major labor issues,No weeder,Paddy transplanter,"Repair & maintenance, Bookkeeping"
Pipra,2466,"Paddy, Chana, Millets",None,No major labor issues,No paddy planter,Weeder,Machine handling
Chandipur,2834,"Millets, Sugarcane","Tractor, Harvester, Manual Tools",None,No seed drill,"Harvester, Paddy transplanter",Bookkeeping
Dhanwar,2483,"Mung, Chana, Wheat","Sprayer, Harvester",Labor migration,"No harvester, Manual sowing",Seed drill,"Nursery setup, Repair & maintenance"
Pipra,1247,"Millets, Sugarcane, Chana, Maize",Sprayer,Harvest labor shortage,"No harvester, Manual weeding, No seed drill",Seed drill,Custom hiring
Chandipur,1412,"Vegetables, Millets, Sugarcane","Manual Tools, Harvester",None,"Manual weeding, Manual sowing","Paddy transplanter, Seed drill","Custom hiring, Repair & maintenance"
Malda,2103,"Millets, Paddy, Chana, Wheat",Tractor,Harvest labor shortage,"No harvester, No seed drill, No weeder","Paddy transplanter, Nursery bed","Machine handling, Repair & maintenance"
Pipra,929,"Sugarcane, Mung","None, Tractor, Sprayer",No major labor issues,"No seed drill, No paddy planter",Harvester,Nursery setup
Rajpur,1036,"Mung, Chana",Sprayer,None,"No weeder, No harvester",Seed drill,"Nursery setup, Bookkeeping"
Kundesar,2695,"Wheat, Paddy",Manual Tools,None,"No harvester, No weeder, Manual weeding","Paddy transplanter, Nursery bed","Bookkeeping, Repair & maintenance"
Kundesar,2565,"Sugarcane, Millets, Chana, Wheat","Tractor, Manual Tools, Sprayer",No major labor issues,"No weeder, Manual weeding, No seed drill",Sprayer,"Nursery setup, Bookkeeping"
Chandipur,1483,"Vegetables, Mung",None,No major labor issues,"Manual weeding, No seed drill, No harvester","Nursery bed, Harvester",Repair & maintenance
Sonpur,616,"Paddy, Sugarcane, Maize, Mung",Tractor,No major labor issues,"No seed drill, Manual weeding","Seed drill, Sprayer","Machine handling, Nursery setup"
Dhanwar,737,"Vegetables, Sugarcane, Chana, Paddy","Manual Tools, None, Tractor",Labor migration,Manual sowing,"Paddy transplanter, Weeder",Custom hiring
Chandipur,1591,"Millets, Maize",Sprayer,Harvest labor shortage,"No paddy planter, Manual sowing, No harvester",Harvester,Nursery setup
Khurda,1599,"Chana, Vegetables, Paddy, Wheat","Manual Tools, Tractor",Need skilled labor,Manual weeding,Seed drill,Nursery setup
Kundesar,2442,"Sugarcane, Chana","Manual Tools, Harvester",Need skilled labor,"No paddy planter, Manual sowing","Nursery bed, Sprayer",Repair & maintenance
Agariya,2578,"Wheat, Maize, Chana, Paddy",None,No major labor issues,"Manual weeding, No paddy planter","Weeder, Seed drill","Custom hiring, Machine handling"
Dhanwar,1495,"Maize, Paddy, Millets",None,Labor migration,Manual sowing,"Nursery bed, Harvester","Machine handling, Nursery setup"
Malda,2111,"Maize, Wheat, Vegetables","None, Manual Tools",None,Manual weeding,Weeder,Bookkeeping
Chandipur,1792,"Mung, Millets","Tractor, None, Manual Tools",None,"No paddy planter, No weeder, Manual sowing","Seed drill, Paddy transplanter",Bookkeeping
Khurda,2694,"Paddy, Mung","None, Sprayer, Harvester",Need skilled labor,"No harvester, No weeder",Seed drill,Bookkeeping
Buxar,715,"Maize, Vegetables, Wheat","Sprayer, Manual Tools, None",Harvest labor shortage,"No paddy planter, No harvester",Sprayer,Nursery setup
Buxar,1744,"Wheat, Chana, Millets, Paddy",Sprayer,Labor migration,No harvester,"Seed drill, Nursery bed","Repair & maintenance, Custom hiring"
Rajpur,1995,"Maize, Wheat, Millets","Manual Tools, None, Sprayer",Labor migration,"No seed drill, No paddy planter",Harvester,Nursery setup
Chandipur,1696,"Wheat, Millets","Harvester, None",None,No harvester,"Weeder, Paddy transplanter",Bookkeeping
Rajpur,2260,"Millets, Mung, Chana, Vegetables","Sprayer, None, Harvester",No major labor issues,"No harvester, No weeder","Paddy transplanter, Weeder",Nursery setup
Sonpur,1470,"Sugarcane, Vegetables, Maize, Millets",None,Need skilled labor,"No weeder, No seed drill","Weeder, Harvester",Nursery setup
Rajpur,2459,"Maize, Wheat, Mung",None,Harvest labor shortage,"No harvester, No weeder, Manual weeding","Nursery bed, Weeder","Nursery setup, Custom hiring"
Malda,2067,"Chana, Vegetables, Sugarcane","Tractor, None, Harvester",None,"Manual weeding, No harvester",Nursery bed,"Machine handling, Custom hiring"
Chandipur,1191,"Mung, Wheat, Sugarcane","Tractor, Sprayer",Harvest labor shortage,No weeder,"Harvester, Paddy transplanter","Machine handling, Nursery setup"
Kundesar,614,"Millets, Wheat, Paddy, Maize",Harvester,None,"No weeder, No harvester, Manual sowing","Harvester, Nursery bed",Repair & maintenance
Kundesar,862,"Wheat, Maize, Millets, Mung","Harvester, Sprayer",No major labor issues,Manual weeding,"Paddy transplanter, Nursery bed",Nursery setup
Kundesar,514,"Chana, Vegetables, Mung, Sugarcane","Harvester, Tractor, Sprayer",Harvest labor shortage,No paddy planter,Paddy transplanter,Machine handling
Dhanwar,1274,"Vegetables, Millets, Chana","Tractor, Harvester, Manual Tools",Need skilled labor,"Manual weeding, Manual sowing, No seed drill","Seed drill, Harvester","Repair & maintenance, Custom hiring"
Sonpur,651,"Maize, Vegetables, Mung","Harvester, Manual Tools",Need skilled labor,"No harvester, Manual sowing, No paddy planter",Seed drill,Machine handling
Rajpur,2240,"Millets, Sugarcane, Vegetables, Wheat","Harvester, None, Manual Tools",Labor migration,"No weeder, Manual sowing","Harvester, Seed drill","Machine handling, Custom hiring"
Chandipur,1389,"Vegetables, Millets, Mung","None, Manual Tools",Labor migration,No weeder,Nursery bed,Bookkeeping
Dhanwar,1261,"Sugarcane, Vegetables, Wheat",Sprayer,Harvest labor shortage,Manual sowing,Sprayer,"Machine handling, Nursery setup"
Malda,1984,"Mung, Sugarcane","Manual Tools, Tractor, None",Need skilled labor,No harvester,Sprayer,"Custom hiring, Machine handling"
Malda,1139,"Sugarcane, Maize","Harvester, Tractor",Labor migration,"No seed drill, Manual sowing, No weeder","Harvester, Sprayer","Repair & maintenance, Nursery setup"
Pipra,2535,"Maize, Wheat, Chana, Mung","Sprayer, Tractor",Harvest labor shortage,"No seed drill, Manual sowing",Paddy transplanter,Nursery setup
Pipra,1123,"Sugarcane, Maize, Vegetables","None, Sprayer, Harvester",Labor migration,"Manual weeding, No weeder, No seed drill",Sprayer,"Machine handling, Nursery setup"
Chandipur,2606,"Vegetables, Sugarcane, Wheat, Paddy",Harvester,Need skilled labor,"No paddy planter, No seed drill, No harvester","Seed drill, Weeder","Custom hiring, Repair & maintenance"
Buxar,935,"Sugarcane, Wheat, Paddy","Tractor, Harvester",No major labor issues,No harvester,"Nursery bed, Sprayer","Custom hiring, Repair & maintenance"
Rajpur,1423,"Wheat, Vegetables, Chana","Sprayer, None, Tractor",None,"Manual weeding, Manual sowing, No paddy planter","Paddy transplanter, Seed drill","Custom hiring, Machine handling"
Agariya,836,"Paddy, Sugarcane","None, Manual Tools, Harvester",None,"No weeder, Manual weeding","Nursery bed, Paddy transplanter",Bookkeeping
Dhanwar,1801,"Vegetables, Chana, Mung, Sugarcane",Tractor,No major labor issues,No paddy planter,Weeder,Nursery setup
Pipra,2943,"Millets, Chana, Wheat, Mung","None, Tractor",No major labor issues,No harvester,"Sprayer, Seed drill","Nursery setup, Custom hiring"
Chandipur,2444,"Sugarcane, Mung, Vegetables, Millets","Tractor, None",No major labor issues,"Manual weeding, No seed drill, No weeder","Weeder, Paddy transplanter",Custom hiring
Pipra,559,"Paddy, Vegetables",Sprayer,No major labor issues,No paddy planter,Seed drill,"Custom hiring, Repair & maintenance"
Pipra,2350,"Mung, Wheat",Sprayer,Need skilled labor,"No weeder, Manual weeding, Manual sowing","Sprayer, Paddy transplanter","Repair & maintenance, Machine handling"
Pipra,1742,"Millets, Sugarcane, Maize, Wheat",None,Harvest labor shortage,"No paddy planter, No harvester","Harvester, Nursery bed",Machine handling
Agariya,2531,"Sugarcane, Wheat, Mung",Manual Tools,Need skilled labor,"Manual weeding, Manual sowing, No weeder","Harvester, Sprayer",Nursery setup
Buxar,1003,"Wheat, Maize, Paddy, Mung",Sprayer,None,No harvester,Seed drill,Bookkeeping
Kundesar,1709,"Sugarcane, Maize, Wheat, Millets","Manual Tools, Harvester",Labor migration,"Manual weeding, No weeder, No paddy planter",Harvester,Bookkeeping
Khurda,1236,"Paddy, Wheat, Maize",None,None,No paddy planter,"Nursery bed, Sprayer","Machine handling, Repair & maintenance"
Agariya,2624,"Wheat, Sugarcane, Maize","Tractor, Harvester, Sprayer",Need skilled labor,"No seed drill, No weeder, Manual weeding","Harvester, Seed drill",Repair & maintenance
Chandipur,529,"Paddy, Wheat, Mung, Vegetables","Tractor, Harvester",No major labor issues,No paddy planter,Harvester,Nursery setup
Dhanwar,2191,"Sugarcane, Chana, Vegetables, Maize","Sprayer, Manual Tools",Harvest labor shortage,No paddy planter,Paddy transplanter,"Custom hiring, Nursery setup"
Sonpur,2360,"Wheat, Maize",Tractor,No major labor issues,"No weeder, Manual weeding","Sprayer, Seed drill",Repair & maintenance
Buxar,1286,"Chana, Maize, Wheat, Paddy","Manual Tools, Sprayer, None",Labor migration,"No paddy planter, Manual weeding",Weeder,Machine handling
Pipra,2438,"Vegetables, Sugarcane, Paddy",Sprayer,None,No seed drill,"Nursery bed, Sprayer",Bookkeeping
Agariya,1947,"Mung, Vegetables, Paddy, Sugarcane",None,None,"No seed drill, Manual sowing, No harvester","Paddy transplanter, Nursery bed",Custom hiring
Sonpur,2122,"Chana, Vegetables, Millets, Paddy","Manual Tools, None",Need skilled labor,"No paddy planter, No harvester, No seed drill",Sprayer,Repair & maintenance
Sonpur,1582,"Maize, Wheat, Mung, Chana","None, Tractor",None,"No weeder, No harvester","Weeder, Sprayer",Machine handling
Sonpur,2214,"Mung, Sugarcane",Harvester,Harvest labor shortage,No paddy planter,"Nursery bed, Paddy transplanter",Custom hiring
Kundesar,2185,"Sugarcane, Mung, Maize","Sprayer, Harvester, Manual Tools",Harvest labor shortage,"No seed drill, Manual sowing, No weeder","Seed drill, Nursery bed",Machine handling
Sonpur,1564,"Chana, Mung","Tractor, None, Sprayer",Harvest labor shortage,"No harvester, No seed drill, Manual sowing","Nursery bed, Seed drill","Bookkeeping, Repair & maintenance"
Dhanwar,1532,"Mung, Chana","Sprayer, Tractor, None",Need skilled labor,"No harvester, Manual sowing, No paddy planter","Harvester, Paddy transplanter","Repair & maintenance, Custom hiring"
Rajpur,918,"Vegetables, Chana, Paddy","Tractor, Harvester, Manual Tools",Labor migration,"No seed drill, No weeder, Manual weeding","Harvester, Weeder","Custom hiring, Bookkeeping"
Kundesar,795,"Wheat, Sugarcane","Sprayer, Harvester",Need skilled labor,"No harvester, No weeder, No paddy planter","Seed drill, Harvester",Repair & maintenance
Malda,1320,"Wheat, Sugarcane, Maize",Manual Tools,Harvest labor shortage,"No seed drill, Manual weeding","Sprayer, Seed drill","Repair & maintenance, Custom hiring"
Sonpur,2385,"Mung, Sugarcane, Millets, Vegetables",None,Harvest labor shortage,"No harvester, Manual weeding, No weeder",Sprayer,Bookkeeping
Buxar,2784,"Wheat, Millets, Chana","Tractor, None, Harvester",Harvest labor shortage,No weeder,"Harvester, Paddy transplanter",Bookkeeping
Pipra,2252,"Chana, Vegetables, Mung",Harvester,Harvest labor shortage,No paddy planter,Sprayer,"Custom hiring, Nursery setup"
Khurda,2052,"Chana, Wheat, Sugarcane, Millets","None, Harvester",No major labor issues,No weeder,Weeder,"Repair & maintenance, Nursery setup"
Pipra,658,"Wheat, Sugarcane, Maize",None,Labor migration,"No seed drill, Manual sowing",Paddy transplanter,"Bookkeeping, Repair & maintenance"
Kundesar,963,"Sugarcane, Millets, Wheat","Manual Tools, None, Harvester",Labor migration,No weeder,Weeder,Nursery setup
Malda,2632,"Millets, Maize, Mung","Manual Tools, None",No major labor issues,"Manual sowing, No paddy planter",Harvester,"Nursery setup, Machine handling"
Chandipur,2691,"Paddy, Millets, Chana, Vegetables","None, Harvester, Manual Tools",None,"Manual sowing, No harvester, No paddy planter","Weeder, Nursery bed",Repair & maintenance
Sonpur,2626,"Wheat, Paddy","None, Sprayer, Harvester",Labor migration,No paddy planter,"Weeder, Nursery bed","Custom hiring, Repair & maintenance"
Chandipur,2197,"Chana, Vegetables","Tractor, Harvester, None",No major labor issues,"No harvester, Manual sowing, No seed drill",Nursery bed,Custom hiring
Chandipur,1188,"Maize, Mung",Manual Tools,Need skilled labor,"Manual weeding, No harvester, No paddy planter","Paddy transplanter, Sprayer","Machine handling, Custom hiring"
Dhanwar,1611,"Sugarcane, Vegetables","None, Tractor",None,"No harvester, Manual sowing",Weeder,Bookkeeping
Malda,2731,"Mung, Wheat","Tractor, None",Need skilled labor,No harvester,"Nursery bed, Seed drill","Machine handling, Custom hiring"
Pipra,1552,"Chana, Millets, Paddy",None,No major labor issues,"Manual sowing, No seed drill","Nursery bed, Weeder","Machine handling, Custom hiring"
Dhanwar,2509,"Mung, Wheat, Paddy, Millets","Manual Tools, Tractor, None",Harvest labor shortage,"No seed drill, Manual weeding, No weeder","Sprayer, Nursery bed","Custom hiring, Machine handling"
Agariya,844,"Chana, Maize","Sprayer, Harvester, Tractor",Need skilled labor,"Manual sowing, Manual weeding","Weeder, Sprayer",Machine handling
Malda,853,"Maize, Vegetables, Chana, Sugarcane","None, Tractor",Labor migration,"No weeder, No paddy planter",Paddy transplanter,Machine handling
Kundesar,649,"Paddy, Sugarcane, Mung","Harvester, None",Harvest labor shortage,No weeder,Paddy transplanter,"Bookkeeping, Repair & maintenance"
Pipra,1349,"Millets, Wheat, Vegetables, Sugarcane",Manual Tools,No major labor issues,"Manual weeding, No harvester",Harvester,"Custom hiring, Nursery setup"
Malda,708,"Millets, Vegetables","None, Tractor, Manual Tools",No major labor issues,"No weeder, Manual weeding, No paddy planter","Sprayer, Seed drill",Nursery setup
Buxar,1373,"Vegetables, Paddy, Chana, Mung",None,Labor migration,"No seed drill, Manual weeding","Seed drill, Nursery bed",Custom hiring
Rajpur,1852,"Chana, Sugarcane, Paddy, Vegetables","Harvester, Tractor",Labor migration,No paddy planter,Seed drill,Custom hiring
Pipra,1692,"Mung, Maize, Vegetables","Manual Tools, Harvester, Sprayer",No major labor issues,"No paddy planter, No harvester, Manual weeding",Harvester,"Nursery setup, Bookkeeping"
Malda,2336,"Maize, Sugarcane, Paddy","Tractor, Harvester, Sprayer",Labor migration,"No seed drill, No weeder, No harvester",Seed drill,Bookkeeping
Buxar,1366,"Wheat, Sugarcane","Sprayer, None, Harvester",No major labor issues,"No seed drill, No harvester",Harvester,Machine handling
Rajpur,1112,"Sugarcane, Vegetables, Mung, Paddy","Harvester, Manual Tools, Sprayer",Harvest labor shortage,No paddy planter,"Paddy transplanter, Seed drill","Custom hiring, Nursery setup"
Rajpur,2356,"Wheat, Millets, Mung","Sprayer, Tractor, Manual Tools",None,"Manual sowing, No harvester, No seed drill","Weeder, Harvester","Bookkeeping, Repair & maintenance"
Agariya,1892,"Wheat, Paddy, Chana","Manual Tools, Sprayer",Labor migration,"No weeder, No paddy planter, No harvester","Nursery bed, Seed drill","Nursery setup, Bookkeeping"
Malda,2440,"Millets, Wheat, Sugarcane","None, Sprayer",Harvest labor shortage,Manual weeding,"Sprayer, Seed drill",Bookkeeping
Pipra,531,"Sugarcane, Millets, Mung, Wheat","Tractor, None",Labor migration,"Manual weeding, No harvester",Harvester,Nursery setup
Chandipur,1604,"Vegetables, Maize, Chana","Manual Tools, Sprayer",No major labor issues,"No harvester, No weeder, No seed drill",Sprayer,Custom hiring
Khurda,1126,"Maize, Paddy, Vegetables, Mung","Sprayer, Manual Tools",None,"No harvester, No paddy planter","Seed drill, Harvester",Repair & maintenance
Pipra,1878,"Chana, Millets",Manual Tools,Harvest labor shortage,No paddy planter,Sprayer,Bookkeeping
Pipra,1705,"Sugarcane, Millets, Maize","Tractor, Harvester",Labor migration,"No weeder, Manual sowing, Manual weeding",Weeder,"Custom hiring, Machine handling"
Buxar,1020,"Wheat, Paddy","Harvester, Sprayer, Tractor",Labor migration,No weeder,Sprayer,Custom hiring
Pipra,1677,"Millets, Wheat, Sugarcane","None, Manual Tools, Sprayer",Harvest labor shortage,"Manual sowing, Manual weeding, No weeder","Nursery bed, Paddy transplanter","Repair & maintenance, Bookkeeping"
Kundesar,1889,"Wheat, Chana, Paddy, Millets","Harvester, Manual Tools",No major labor issues,"No paddy planter, No weeder","Seed drill, Sprayer",Bookkeeping
Khurda,2707,"Chana, Paddy",Sprayer,Labor migration,No weeder,"Sprayer, Paddy transplanter","Repair & maintenance, Nursery setup"
Malda,2616,"Vegetables, Chana, Millets","Tractor, Manual Tools, None",Need skilled labor,No weeder,Sprayer,Custom hiring
Sonpur,1731,"Paddy, Wheat, Chana","Sprayer, Tractor, Manual Tools",Labor migration,"Manual sowing, No seed drill, No paddy planter",Paddy transplanter,Bookkeeping
Pipra,1867,"Chana, Mung, Vegetables, Millets","Harvester, Manual Tools, Sprayer",No major labor issues,"No harvester, No paddy planter, No seed drill","Harvester, Weeder",Machine handling
Agariya,2496,"Paddy, Maize, Mung","Harvester, Manual Tools",Labor migration,"No seed drill, No paddy planter, Manual weeding",Nursery bed,"Repair & maintenance, Bookkeeping"
Chandipur,791,"Vegetables, Chana, Millets","Tractor, None, Sprayer",None,"Manual weeding, No paddy planter, Manual sowing",Sprayer,Nursery setup
Khurda,2074,"Maize, Paddy","None, Manual Tools, Sprayer",Labor migration,"Manual sowing, Manual weeding, No harvester",Weeder,Bookkeeping
Dhanwar,780,"Mung, Chana, Paddy","Harvester, None",Need skilled labor,"No seed drill, Manual weeding, Manual sowing","Harvester, Seed drill",Machine handling
Khurda,1277,"Mung, Chana","Tractor, Harvester, Sprayer",Harvest labor shortage,"Manual sowing, No paddy planter, No harvester","Weeder, Sprayer","Bookkeeping, Machine handling"
Khurda,1816,"Chana, Millets, Maize","Tractor, Manual Tools",Labor migration,"No harvester, Manual weeding",Weeder,"Bookkeeping, Nursery setup"
Sonpur,1059,"Maize, Vegetables, Wheat","Tractor, Harvester, Manual Tools",Need skilled labor,"Manual weeding, No harvester","Sprayer, Seed drill",Custom hiring
Rajpur,1673,"Sugarcane, Paddy, Mung",None,No major labor issues,No paddy planter,"Paddy transplanter, Sprayer","Custom hiring, Nursery setup"
Rajpur,2222,"Vegetables, Maize, Wheat, Millets",Manual Tools,Harvest labor shortage,"No seed drill, No paddy planter",Harvester,Repair & maintenance
Malda,2080,"Paddy, Mung, Vegetables, Wheat",Sprayer,None,"No seed drill, Manual weeding",Harvester,Custom hiring
Dhanwar,1416,"Chana, Sugarcane, Vegetables, Maize",Harvester,Need skilled labor,"Manual weeding, No weeder","Paddy transplanter, Weeder","Machine handling, Nursery setup"
Rajpur,1464,"Maize, Mung","Harvester, Manual Tools, None",Labor migration,Manual weeding,"Weeder, Nursery bed",Repair & maintenance
Khurda,2948,"Vegetables, Millets",Manual Tools,None,Manual sowing,"Nursery bed, Weeder",Custom hiring
Buxar,745,"Sugarcane, Mung, Chana",Manual Tools,Harvest labor shortage,"No seed drill, No harvester, Manual sowing",Harvester,Repair & maintenance
Chandipur,2259,"Maize, Mung","Manual Tools, None, Tractor",Labor migration,"No seed drill, No weeder, No harvester","Harvester, Paddy transplanter","Repair & maintenance, Machine handling"
Kundesar,2140,"Mung, Chana, Paddy",Manual Tools,Labor migration,"No seed drill, No weeder","Harvester, Nursery bed",Custom hiring
Dhanwar,2304,"Sugarcane, Paddy","Tractor, None",None,"Manual weeding, No paddy planter",Sprayer,"Machine handling, Nursery setup"
Sonpur,2713,"Mung, Chana, Wheat, Maize",Sprayer,None,"No harvester, Manual weeding","Nursery bed, Harvester",Custom hiring
Agariya,1328,"Mung, Millets","Sprayer, Harvester",Need skilled labor,"No seed drill, No paddy planter",Sprayer,"Repair & maintenance, Bookkeeping"
Rajpur,1762,"Maize, Millets, Chana, Paddy","None, Harvester",No major labor issues,"Manual sowing, No paddy planter, No seed drill","Nursery bed, Paddy transplanter",Nursery setup
